"idencuesta","c01","c02","c03","c04","c05_01","c05_02","c05_03","c05_04","c05_05","c05_06","c05_07","c05_08","c06_01","c06_02","c06_03","c06_04","c06_05","c06_06","c11","c13","c14_01","c14_02","d05_02","d05_04","m0_sexo","m0_edad","m01","m35"
4106042,,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,3,1,2,1,2,1,3,2,1,61,3,2
4106053,3,2,3,2,1,1,4,3,3,3,3,2,3,1,1,3,1,3,2,1,1,1,4,4,2,69,5,3
4106062,1,2,2,2,1,1,5,2,2,2,2,1,1,1,1,4,4,4,2,1,1,1,3,4,2,57,7,3
4106063,3,2,3,3,1,2,3,2,3,3,2,3,2,2,2,4,,3,1,1,1,2,5,5,2,24,7,3
4106065,3,2,2,2,3,1,3,2,2,3,3,3,1,3,3,1,1,1,2,2,4,4,4,5,1,51,4,1
4106071,4,2,2,,4,3,4,3,3,3,3,4,2,3,3,4,2,4,2,3,3,3,4,4,1,54,8,6
4106083,1,2,2,1,2,1,3,3,1,2,1,3,1,1,1,3,2,2,1,1,1,4,4,3,2,68,5,1
4106094,1,2,2,3,2,1,3,3,3,3,2,2,1,2,2,2,3,1,2,2,3,4,4,4,1,60,6,1
4106101,2,2,2,1,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,4,3,3,4,4,1,30,9,4
4106102,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,4,5,1,2,45,2,1
4106103,2,2,2,2,3,1,5,2,2,3,3,3,2,2,2,3,3,4,1,4,3,4,4,4,2,46,4,3
4106111,4,2,1,2,4,2,3,4,3,2,3,4,3,3,3,3,3,3,2,3,3,3,4,4,2,56,5,3
4106112,4,1,1,2,4,2,2,3,2,3,2,4,2,2,2,3,3,3,2,2,3,3,4,4,2,34,7,3
4106113,1,2,2,1,1,1,2,5,1,1,1,1,1,2,1,3,4,1,2,3,5,5,5,5,2,74,5,2
4204011,1,2,1,1,3,2,2,3,2,3,3,3,2,2,2,4,3,3,2,1,1,3,4,4,2,34,6,2
